# Radius     Gravity      Pressure     Temperature  Density      Vp           Vs           K            G            Expansivity  Cp            dGdT         
4.539231e+06 9.962006e+00 7.860211e+10 2.229195e+03 5.022709e+03 1.277079e+04 6.800219e+03 5.094821e+11 2.322650e+11 1.588311e-05 1.238393e+03 -1.942980e+07
4.548702e+06 9.960452e+00 7.812748e+10 2.226489e+03 5.018019e+03 1.275852e+04 6.795916e+03 5.078267e+11 2.317545e+11 1.593339e-05 1.238540e+03 -1.945228e+07
4.558173e+06 9.958951e+00 7.765339e+10 2.223779e+03 5.013322e+03 1.274624e+04 6.791599e+03 5.061724e+11 2.312436e+11 1.598400e-05 1.238687e+03 -1.947487e+07
4.567644e+06 9.957504e+00 7.717983e+10 2.221065e+03 5.008620e+03 1.273392e+04 6.787269e+03 5.045190e+11 2.307322e+11 1.603494e-05 1.238836e+03 -1.949757e+07
4.577115e+06 9.956109e+00 7.670681e+10 2.218346e+03 5.003913e+03 1.272159e+04 6.782926e+03 5.028667e+11 2.302205e+11 1.608620e-05 1.238985e+03 -1.952039e+07
4.586587e+06 9.954765e+00 7.623426e+10 2.215623e+03 4.999199e+03 1.270923e+04 6.778570e+03 5.012151e+11 2.297082e+11 1.613779e-05 1.239135e+03 -1.954333e+07
4.596058e+06 9.953473e+00 7.576230e+10 2.212895e+03 4.994479e+03 1.269684e+04 6.774200e+03 4.995647e+11 2.291956e+11 1.618972e-05 1.239287e+03 -1.956639e+07
4.605529e+06 9.952231e+00 7.529086e+10 2.210162e+03 4.989754e+03 1.268443e+04 6.769817e+03 4.979153e+11 2.286825e+11 1.624199e-05 1.239439e+03 -1.958956e+07
4.615000e+06 9.951039e+00 7.481995e+10 2.207425e+03 4.985023e+03 1.267199e+04 6.765420e+03 4.962669e+11 2.281690e+11 1.629460e-05 1.239592e+03 -1.961285e+07
4.624471e+06 9.949897e+00 7.434955e+10 2.204683e+03 4.980286e+03 1.265953e+04 6.761010e+03 4.946194e+11 2.276551e+11 1.634755e-05 1.239746e+03 -1.963627e+07
4.633942e+06 9.948803e+00 7.387968e+10 2.201936e+03 4.975543e+03 1.264705e+04 6.756586e+03 4.929728e+11 2.271407e+11 1.640085e-05 1.239901e+03 -1.965981e+07
4.643413e+06 9.947756e+00 7.341033e+10 2.199185e+03 4.970793e+03 1.263453e+04 6.752148e+03 4.913272e+11 2.266259e+11 1.645451e-05 1.240057e+03 -1.968347e+07
4.652885e+06 9.946757e+00 7.294144e+10 2.196428e+03 4.966037e+03 1.262200e+04 6.747695e+03 4.896823e+11 2.261106e+11 1.650853e-05 1.240215e+03 -1.970726e+07
4.662356e+06 9.945805e+00 7.247312e+10 2.193667e+03 4.961275e+03 1.260943e+04 6.743229e+03 4.880385e+11 2.255948e+11 1.656291e-05 1.240373e+03 -1.973117e+07
4.671827e+06 9.944899e+00 7.200531e+10 2.190901e+03 4.956507e+03 1.259684e+04 6.738749e+03 4.863956e+11 2.250786e+11 1.661765e-05 1.240532e+03 -1.975521e+07
4.681298e+06 9.944039e+00 7.153801e+10 2.188130e+03 4.951733e+03 1.258422e+04 6.734254e+03 4.847537e+11 2.245620e+11 1.667276e-05 1.240692e+03 -1.977938e+07
